ticker,industry,Rank_in_Industry,Score_industry,Score_global,ROA,DE,BV,PB,EPS,Market_Cap
FRC,Lâm nghiệp và Giấy,10,0.2153065966658054,0.1696273437719188,0.057461012,0.600790195,163000000000.0,0.461049804,4987.694636,75000000000.0
VIF,Lâm nghiệp và Giấy,11,0.20071119740557875,0.16698012176108698,0.065525523,0.094458359,4990000000000.0,1.122838214,1021.909732,5565000000000.0
HAP,Lâm nghiệp và Giấy,12,0.1879200460697467,0.16466014292690953,0.06082569,0.156451502,1450000000000.0,0.576430191,916.4477047,834344267720.0
MZG,Lâm nghiệp và Giấy,13,0.1439372571311408,0.15668282042273304,0.016347513,2.518118611,1260000000000.0,0.960128887,622.9683207,1188367054800.0
GTA,Lâm nghiệp và Giấy,14,0.10405438589375529,0.14944911528645177,0.02676074,0.985411071,161000000000.0,0.619426476,822.5785865,99736000000.0
FRM,Lâm nghiệp và Giấy,15,0.10189390728183967,0.1490572612211108,0.034191595,0.132435607,138000000000.0,0.585940274,455.9619634,80730000000.0
HHP,Lâm nghiệp và Giấy,16,0.06172895209853315,0.14177239346726556,0.008277431,1.784820706,1030000000000.0,1.018690895,274.9328784,1099240156100.0
VID,Lâm nghiệp và Giấy,17,0.05846685452433338,0.14118073466123107,0.008565044,0.679386156,668000000000.0,0.305680987,235.2782207,204180345000.0
MDF,Lâm nghiệp và Giấy,18,0.04362548321148915,0.13848889978163634,0.003274425,0.605172999,645000000000.0,0.478492923,61.51335435,308636132000.0
TTF,Lâm nghiệp và Giấy,19,0.04048829990012828,0.1379198971414359,0.002623476,5.984420101,400000000000.0,2.953008941,18.61503993,1180644906000.0
SJF,Lâm nghiệp và Giấy,20,0.0,0.13057638315008832,-0.016951968,0.572351727,517000000000.0,0.274300869,-173.9384762,141768000000.0
STB,Ngân hàng,1,1.0,0.18396011758152198,0.013484251,12.60862973,55000000000000.0,1.776432543,5350.843892,101424605520800.0
CTG,Ngân hàng,2,0.9990716080656558,0.1838646686965538,0.010682778,15.0627078,149000000000000.0,1.500657188,4745.364275,222854657542000.0
VCB,Ngân hàng,3,0.9979864814131388,0.1837531057615471,0.016229707,9.630866759,196000000000000.0,2.895817317,4051.511891,607457579333800.0
ACB,Ngân hàng,4,0.9788516423468631,0.18178583419728941,0.019432474,9.352124756,83500000000000.0,1.56939983,3268.617957,130984743274500.0
HDB,Ngân hàng,5,0.9781602767766303,0.18171475422519692,0.018996681,11.3085099,56700000000000.0,1.90051019,3432.552635,108835526603400.0
SHB,Ngân hàng,6,0.9645753505687824,0.18031807464306548,0.012471201,11.87260649,58100000000000.0,1.305454928,2029.069033,78101400408000.0
MBB,Ngân hàng,7,0.9606012649420833,0.17990949500357903,0.020332426,8.64296175,117000000000000.0,1.878543351,2849.318965,227150997433800.0
