date,close_price
2024-06-05,102.53
2024-06-06,102.17
2024-06-07,103.92
2024-06-10,105.39
2024-06-11,107.22
2024-06-12,111.86
2024-06-13,110.17
2024-06-14,111.01
2024-06-17,109.15
2024-06-18,108.47
2024-06-19,111.44
2024-06-20,112.96
2024-06-21,115.34
2024-06-24,111.95
2024-06-25,110.17
2024-06-26,111.69
2024-06-27,112.54
2024-06-28,110.59
2024-07-01,108.98
2024-07-02,108.47
2024-07-03,111.01
2024-07-04,115.08
2024-07-05,117.54
2024-07-08,118.3
2024-07-09,116.52
2024-07-10,113.56
2024-07-11,112.71
2024-07-12,113.39
2024-07-15,112.46
2024-07-16,113.56
2024-07-17,111.78
2024-07-18,108.39
2024-07-19,106.78
2024-07-22,105.17
2024-07-23,106.35
2024-07-24,106.78
2024-07-25,105.93
2024-07-26,108.47
2024-07-29,109.32
2024-07-30,108.47
2024-07-31,108.98
2024-08-01,105.76
2024-08-02,104.4
2024-08-05,100.51
2024-08-06,102.37
2024-08-07,103.39
2024-08-08,102.88
2024-08-09,107.54
2024-08-12,110.17
2024-08-13,109.91
2024-08-14,109.74
2024-08-15,109.07
2024-08-16,110.68
2024-08-19,110.59
2024-08-20,111.44
2024-08-21,113.13
2024-08-22,113.39
2024-08-23,112.79
2024-08-26,111.44
2024-08-27,112.29
2024-08-28,112.96
2024-08-29,113.3
2024-08-30,114.23
2024-09-04,112.71
2024-09-05,110.68
2024-09-06,111.95
2024-09-09,111.27
2024-09-10,110.17
2024-09-11,110.68
2024-09-12,112.12
2024-09-13,112.71
2024-09-16,111.1
2024-09-17,112.62
2024-09-18,114.07
2024-09-19,114.57
2024-09-20,114.66
2024-09-23,113.56
2024-09-24,113.98
2024-09-25,114.23
2024-09-26,113.81
2024-09-27,113.73
2024-09-30,113.98
2024-10-01,115.17
2024-10-02,114.74
2024-10-03,113.56
2024-10-04,113.64
2024-10-07,113.64
2024-10-08,113.39
2024-10-09,114.74
2024-10-10,120.08
2024-10-11,118.3
2024-10-14,116.61
2024-10-15,116.1
2024-10-16,115.51
2024-10-17,116.1
2024-10-18,116.1
2024-10-21,114.83
2024-10-22,112.79
2024-10-23,113.73
2024-10-24,113.81
2024-10-25,113.56
2024-10-28,114.32
2024-10-29,114.74
2024-10-30,115.17
2024-10-31,115.17
2024-11-01,114.07
2024-11-04,112.54
2024-11-05,112.37
2024-11-06,114.07
2024-11-07,114.49
2024-11-08,115.08
2024-11-11,117.2
2024-11-12,115.93
2024-11-13,116.78
2024-11-14,115.25
2024-11-15,113.47
2024-11-18,113.56
2024-11-19,110.17
2024-11-20,112.2
2024-11-21,112.71
2024-11-22,113.47
2024-11-25,113.47
2024-11-26,114.57
2024-11-27,117.71
2024-11-28,118.13
2024-11-29,122.29
2024-12-02,121.34
2024-12-03,123.73
2024-12-04,122.45
2024-12-05,126.72
2024-12-06,127.57
2024-12-09,125.44
2024-12-10,127.57
2024-12-11,128.43
2024-12-12,128.17
2024-12-13,127.57
2024-12-16,127.91
2024-12-17,126.29
2024-12-18,126.89
2024-12-19,126.38
2024-12-20,127.57
2024-12-23,127.83
2024-12-24,128.34
2024-12-25,128.68
2024-12-26,127.83
2024-12-27,127.66
2024-12-30,128.43
2024-12-31,130.13
2025-01-02,129.71
2025-01-03,127.15
2025-01-06,127.4
2025-01-07,128.08
2025-01-08,126.55
2025-01-09,126.98
2025-01-10,125.7
2025-01-13,125.95
2025-01-14,123.82
2025-01-15,124.16
2025-01-16,125.01
2025-01-17,127.15
2025-01-20,128.0
2025-01-21,127.91
2025-01-22,127.74
2025-01-23,131.67
2025-01-24,130.9
2025-02-03,124.16
2025-02-04,124.76
2025-02-05,124.84
2025-02-06,125.01
2025-02-07,124.67
2025-02-10,121.17
2025-02-11,124.07
2025-02-12,123.73
2025-02-13,122.11
2025-02-14,123.65
2025-02-17,122.54
2025-02-18,122.79
2025-02-19,122.88
